Document_1   Document_2   Cosine_Similarity 
0            1            0.0000            	
0            1            0.0000            	
0            10           0.0000            	
0            2            0.0000            	
0            2            0.0000            	
0            3            0.0000            	
0            3            0.0000            	
0            4            0.0000            	
0            4            0.0000            	
0            5            0.0000            	
0            5            0.0000            	
0            6            0.0000            	
0            6            0.0000            	
0            7            0.0000            	
0            7            0.0467            	
0            8            0.0000            	
0            8            0.1157            	
0            9            0.0000            	
0            9            0.0000            	
1            10           0.0002            	
1            2            0.0000            	
1            2            0.0000            	
1            3            0.0000            	
1            3            0.0000            	
1            4            0.0000            	
1            4            0.0000            	
1            5            0.0000            	
1            5            0.0000            	
1            6            0.0000            	
1            6            0.0015            	
1            7            0.0000            	
1            7            0.0000            	
1            8            0.0000            	
1            8            0.0000            	
1            9            0.0000            	
1            9            0.0132            	
2            10           0.0007            	
2            3            0.0000            	
2            3            0.0061            	
2            4            0.0000            	
2            4            0.0000            	
2            5            0.0000            	
2            5            0.0000            	
2            6            0.0000            	
2            6            0.0000            	
2            7            0.0000            	
2            7            0.0025            	
2            8            0.0000            	
2            8            0.0000            	
2            9            0.0000            	
2            9            0.0490            	
3            10           0.0000            	
3            4            0.0000            	
3            4            0.0000            	
3            5            0.0000            	
3            5            0.0000            	
3            6            0.0000            	
3            6            0.0000            	
3            7            0.0000            	
3            7            0.0000            	
3            8            0.0000            	
3            8            0.0000            	
3            9            0.0000            	
3            9            0.0000            	
4            10           0.0000            	
4            5            0.0000            	
4            5            0.0000            	
4            6            0.0000            	
4            6            0.0000            	
4            7            0.0000            	
4            7            0.0000            	
4            8            0.0000            	
4            8            0.0000            	
4            9            0.0000            	
4            9            0.0173            	
5            10           0.0008            	
5            6            0.0000            	
5            6            0.0000            	
5            7            0.0000            	
5            7            0.0000            	
5            8            0.0000            	
5            8            0.0000            	
5            9            0.0000            	
5            9            0.0000            	
6            10           0.0067            	
6            7            0.0000            	
6            7            0.0000            	
6            8            0.0000            	
6            8            0.0000            	
6            9            0.0000            	
6            9            0.0083            	
7            10           0.0015            	
7            8            0.0000            	
7            8            0.0000            	
7            9            0.0000            	
7            9            0.0000            	
8            10           0.0000            	
8            9            0.0000            	
8            9            0.0248            	
9            10           0.0009            	
